subject,grade,threshold_idx,lower_level,upper_level,threshold,years_list,year_start,year_end,n_years,year_range
ENG,5,1,1,2,42.5,2014|2015|2016|2017|2018|2019|2020|2021,2014,2021,8,2014-2021
ENG,5,2,2,3,56.5,2014|2015|2016|2017|2018|2019|2020|2021,2014,2021,8,2014-2021
ENG,8,1,1,2,36.5,2014|2015|2016|2017|2018|2019|2020|2021,2014,2021,8,2014-2021
ENG,8,2,2,3,43.5,2014|2015|2016|2017|2018|2019|2020|2021,2014,2021,8,2014-2021
ENG,8,3,3,4,55.5,2014|2015|2016|2017|2018|2019|2020|2021,2014,2021,8,2014-2021
ENG,8,4,4,5,62.5,2014|2015|2016|2017|2018|2019|2020|2021,2014,2021,8,2014-2021
MATH,5,1,1,2,42.5,2014|2015|2016|2017|2018|2019|2020|2021,2014,2021,8,2014-2021
MATH,5,2,2,3,56.5,2014|2015|2016|2017|2018|2019|2020|2021,2014,2021,8,2014-2021
MATH,8,1,1,2,37,2014,2014,2014,1,2014
MATH,8,1,1,2,36.5,2015|2016|2017|2018|2019|2020|2021,2015,2021,7,2015-2021
MATH,8,2,2,3,45,2014,2014,2014,1,2014
MATH,8,2,2,3,44.5,2015|2016|2017|2018|2019|2020|2021,2015,2021,7,2015-2021
MATH,8,3,3,4,55,2014,2014,2014,1,2014
MATH,8,3,3,4,54.5,2015|2016|2017|2018|2019|2020|2021,2015,2021,7,2015-2021
MATH,8,4,4,5,63,2014,2014,2014,1,2014
MATH,8,4,4,5,62.5,2015|2016|2017|2018|2019|2020|2021,2015,2021,7,2015-2021
NOR,5,1,1,2,42.5,2014|2015|2016|2017|2018|2019|2020|2021,2014,2021,8,2014-2021
NOR,5,2,2,3,56.5,2014|2015,2014,2015,2,"2014, 2015"
NOR,5,2,2,3,57.5,2016|2017|2018|2019|2020|2021,2016,2021,6,2016-2021
NOR,8,1,1,2,36.5,2014|2015,2014,2015,2,"2014, 2015"
NOR,8,1,1,2,37.5,2016|2017|2018|2019|2020|2021,2016,2021,6,2016-2021
NOR,8,2,2,3,43.5,2014|2016|2017|2018|2019|2020|2021,2014,2021,7,"2014, 2016-2021"
NOR,8,2,2,3,44.5,2015,2015,2015,1,2015
NOR,8,3,3,4,54.5,2014|2015|2016|2017|2018|2019|2020|2021,2014,2021,8,2014-2021
NOR,8,4,4,5,62.5,2014|2015|2016|2017|2018|2019|2020|2021,2014,2021,8,2014-2021
