subject,grade_level,year,n_total,n_match,n_mismatch,pct_match
ENG,5,2014,56758,55008,1750,96.92
ENG,5,2015,56632,54727,1905,96.64
ENG,5,2016,58236,56323,1913,96.72
ENG,5,2017,58081,56270,1811,96.88
ENG,5,2018,59803,57839,1964,96.72
ENG,5,2019,60726,58578,2148,96.46
ENG,5,2020,60002,58120,1882,96.86
ENG,5,2021,58245,56356,1889,96.76
ENG,8,2014,57290,54245,3045,94.68
ENG,8,2015,56156,53080,3076,94.52
ENG,8,2016,58053,54921,3132,94.6
ENG,8,2017,58674,55475,3199,94.55
ENG,8,2018,58762,55568,3194,94.56
ENG,8,2019,60165,56935,3230,94.63
ENG,8,2020,59887,56573,3314,94.47
ENG,8,2021,61530,58186,3344,94.57
MATH,5,2014,57229,55439,1790,96.87
MATH,5,2015,57125,55164,1961,96.57
MATH,5,2016,58840,56838,2002,96.6
MATH,5,2017,58700,56781,1919,96.73
MATH,5,2018,60480,58601,1879,96.89
MATH,5,2019,61354,59310,2044,96.67
MATH,5,2020,60450,58470,1980,96.72
MATH,5,2021,58576,56635,1941,96.69
MATH,8,2014,57441,52476,4965,91.36
MATH,8,2015,56294,53234,3060,94.56
MATH,8,2016,58209,54908,3301,94.33
MATH,8,2017,59008,55830,3178,94.61
MATH,8,2018,59054,55877,3177,94.62
MATH,8,2019,60569,57293,3276,94.59
MATH,8,2020,60180,56994,3186,94.71
MATH,8,2021,61677,58280,3397,94.49
NOR,5,2014,55855,52273,3582,93.59
NOR,5,2015,55622,52075,3547,93.62
NOR,5,2016,58309,52876,5433,90.68
NOR,5,2017,58178,52563,5615,90.35
NOR,5,2018,59792,54056,5736,90.41
NOR,5,2019,60699,54986,5713,90.59
NOR,5,2020,59852,54245,5607,90.63
NOR,5,2021,58001,52530,5471,90.57
NOR,8,2014,57274,54274,3000,94.76
NOR,8,2015,55717,52734,2983,94.65
NOR,8,2016,58082,54848,3234,94.43
NOR,8,2017,58833,55597,3236,94.5
NOR,8,2018,58952,55799,3153,94.65
NOR,8,2019,60377,57165,3212,94.68
NOR,8,2020,60174,56927,3247,94.6
NOR,8,2021,61528,58246,3282,94.67
